Symbol,Sector,EPS Next 5Y,Market Cap,Total Assets,Total Debts,Free Cash Flow,Beta,P/E Ratio
AAPL,,,,,,,,
ADBE,,,,,,,,
BA,,,,,,,,
BYND,,,,,,,,
CAT,,,,,,,,
DIS,,,,,,,,
DOCU,,,,,,,,
ENPH,,,,,,,,
ETSY,,,,,,,,
FB,,,,,,,,
GS,,,,,,,,
HD,,,,,,,,
JPM,,,,,,,,
LMT,,,,,,,,
MCD,,,,,,,,
MSFT,,,,,,,,
NKE,,,,,,,,
NVAX,,,,,,,,
NVDA,,,,,,,,
PYPL,,,,,,,,
QCOM,,,,,,,,
SPOT,,,,,,,,
SPY,,,,,,,,
SQ,,,,,,,,
TGT,,,,,,,,
TQQQ,,,,,,,,
UNP,,,,,,,,
V,,,,,,,,
XOM,,,,,,,,
ZM,,,,,,,,
